,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,среднемесячная_температура_на_улице,количество_рекламаций,countmen,реклам_категория,возрастная_категория,precent_satisf,стандр_комф_вл
48,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35,Мужской,3.0,0.0,Холоднее,0.0,Больше,,0.46,25.7,64.1,0.12,170.2,63.0,0.0,1.0,1.0,1.0,22.0,0,1,мало,молодой возраст,78,not OK
49,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,1.0,1.0,Без изменений,1.0,Без изменений,,0.52,24.7,58.0,0.09,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,78,OK
50,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.6,76.6,0.07,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,78,not OK
51,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.2,62.5,0.07,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,78,not OK
52,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Женский,0.0,1.0,Без изменений,1.0,Без изменений,,0.39,25.2,64.4,0.07,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,57,not OK
53,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Женский,0.0,1.0,Без изменений,1.0,Без изменений,,0.55,24.0,75.8,0.08,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,57,not OK
54,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.43,22.6,66.8,0.11,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,78,not OK
55,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35,Женский,2.0,0.0,Холоднее,0.0,Больше,,0.45,25.2,67.4,0.07,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,57,not OK
56,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.41,25.0,73.1,0.08,170.2,63.0,0.0,1.0,1.0,0.0,22.0,0,1,мало,средний возраст,78,not OK
57,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55,Женский,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,21.9,55.0,0.05,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,57,OK
58,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,22.0,52.5,0.07,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,78,OK
59,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,1.0,1.0,Холоднее,1.0,Без изменений,,0.46,22.7,47.8,0.12,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,средний возраст,78,OK
